TIPO;DIRECCION;IDENTIFICADOR;CODIGO;CODNDP,N,19,0;TIPO DE VALLA;TIPO DE SUELO;LOCALIZACION;ACCESO;N.ELEMENTOS;AREA;PERIMETRO;DIRECCION AUXLIAR;DISTRITO;BARRIO;latitud;longitud;UTMX;UTMY
AREA INFANTIL;CAMINO VALDEHIGUERA nº 46;1427;16156;20125513;VALLA METALICA DE COLORINES;ARENA;0;0;5;189,72;58,88;0;HORTALEZA;VALDEFUENTES;40,479675;-3,63004;446597,974;4481189,273
AREA INFANTIL;CALLE MARIA MOLINER nº 6;1312;16009;20160485;VALLA METALICA DE COLORINES;ARENA;0;ACCESO CON VALLA RETRANQUEADA;2;178,531;56,59;0;HORTALEZA;VALDEFUENTES;40,476456;-3,629544;446637,466;4480831,62
AREA INFANTIL;CAMINO ALTO DE HORTALEZA nº 2;1316;16013;31052126;VALLA METALICA DE COLORINES;ARENA;0;0;5;267,944;68,26;Cm · CAMINO ALTO DE HORTALEZA , ASCENDIENTE 1: 16;HORTALEZA;VALDEFUENTES;40,474676;-3,628894;446691,218;4480633,677
AREA INFANTIL;CALLE SAN CLAUDIO nº 71;995;13048;11096726;VALLA METALICA COLOR VERDE;ARENA;0;0;3;162,322;49,98;0;PUENTE DE VALLECAS;PALOMERAS SURESTE;40,389681;-3,639769;445701,048;4471205,904
AREA INFANTIL;AVENIDA ALBUFERA nº 283;991;13043;20083653;VALLA METALICA DE COLORINES;ARENA;0;ACCESO CON VALLA RETRANQUEADA;3;173,615;59,61;0;PUENTE DE VALLECAS;PALOMERAS SURESTE;40,388614;-3,64243;445474,284;4471089,117
AREA INFANTIL;AVENIDA RAFAEL ALBERTI nº 38;1001;13055;20176100;VALLA METALICA DE COLORINES - PARCIAL;ARENA;0;0;5;373,34;72,32;0;PUENTE DE VALLECAS;PALOMERAS SURESTE;40,38419;-3,643743;445359,335;4470598,812
AREA INFANTIL;CALLE CAMPO DE LA PALOMA nº 12;1002;13056;31007825;VALLA METALICA DE COLORINES;ARENA;0;0;5;195,282;57,61;0;PUENTE DE VALLECAS;PALOMERAS SURESTE;40,384311;-3,646752;445103,967;4470614,163
AREA INFANTIL;CALLE SANTA CRUZ DE RETAMAR nº 18;1067;13130;11096231;VALLA METALICA DE COLORINES;ARENA;0;0;4;125,85;47,39;0;PUENTE DE VALLECAS;PALOMERAS SURESTE;40,381362;-3,646407;445130,869;4470286,617
AREA INFANTIL;CALLE RAFAELA APARICIO nº 2;1315;16012;31041690;SIN VALLA;ARENA;EN PARQUE MIRADOR DE LAS CARCAVAS;0;4;689,65;100,44;PARQUE DE LAS CARCAVAS;HORTALEZA;VALDEFUENTES;40,478967;-3,633512;446303,141;4481112,756
AREA INFANTIL;CALLE PUERTO DE BALBARAN nº 135;1008;13063;20102235;VALLA DE MADERA CON COLORINES;ARENA;PLAZA;0;3;167,502;46,33;C · CALLE NOVECENTO , ASCENDIENTE 1: 133 · PALOME;PUENTE DE VALLECAS;PALOMERAS BAJAS;40,377469;-3,653429;444531,596;4469858,894
