measurement,station,date,latitude,longitude
28079016_201712,28079016,2017-12,40.44004722222222,-3.6392333333333333
28079016_201711,28079016,2017-11,40.44004722222222,-3.6392333333333333
28079016_201709,28079016,2017-09,40.44004722222222,-3.6392333333333333
28079016_201708,28079016,2017-08,40.44004722222222,-3.6392333333333333
28079016_201704,28079016,2017-04,40.44004722222222,-3.6392333333333333
28079016_201701,28079016,2017-01,40.44004722222222,-3.6392333333333333
28079016_201710,28079016,2017-10,40.44004722222222,-3.6392333333333333
28079016_201703,28079016,2017-03,40.44004722222222,-3.6392333333333333
28079016_201702,28079016,2017-02,40.44004722222222,-3.6392333333333333
28079017_201707,28079017,2017-07,40.347138888888885,-3.713322222222221
28079017_201706,28079017,2017-06,40.347138888888885,-3.713322222222221
28079017_201705,28079017,2017-05,40.347138888888885,-3.713322222222221
28079017_201712,28079017,2017-12,40.347138888888885,-3.713322222222221
28079017_201711,28079017,2017-11,40.347138888888885,-3.713322222222221
28079017_201709,28079017,2017-09,40.347138888888885,-3.713322222222221
28079017_201708,28079017,2017-08,40.347138888888885,-3.713322222222221
28079017_201704,28079017,2017-04,40.347138888888885,-3.713322222222221
28079017_201701,28079017,2017-01,40.347138888888885,-3.713322222222221
28079017_201710,28079017,2017-10,40.347138888888885,-3.713322222222221
28079017_201703,28079017,2017-03,40.347138888888885,-3.713322222222221
28079017_201702,28079017,2017-02,40.347138888888885,-3.713322222222221
28079048_201707,28079048,2017-07,40.43989722222222,-3.690366666666667
28079048_201706,28079048,2017-06,40.43989722222222,-3.690366666666667
28079048_201705,28079048,2017-05,40.43989722222222,-3.690366666666667
28079048_201712,28079048,2017-12,40.43989722222222,-3.690366666666667
28079048_201711,28079048,2017-11,40.43989722222222,-3.690366666666667
28079048_201709,28079048,2017-09,40.43989722222222,-3.690366666666667
28079048_201708,28079048,2017-08,40.43989722222222,-3.690366666666667
28079048_201704,28079048,2017-04,40.43989722222222,-3.690366666666667
28079048_201701,28079048,2017-01,40.43989722222222,-3.690366666666667
28079048_201710,28079048,2017-10,40.43989722222222,-3.690366666666667
28079048_201703,28079048,2017-03,40.43989722222222,-3.690366666666667
28079048_201702,28079048,2017-02,40.43989722222222,-3.690366666666667
28079054_201707,28079054,2017-07,40.372933333333336,-3.612116666666666
28079054_201706,28079054,2017-06,40.372933333333336,-3.612116666666666
28079054_201705,28079054,2017-05,40.372933333333336,-3.612116666666666
28079054_201712,28079054,2017-12,40.372933333333336,-3.612116666666666
28079054_201711,28079054,2017-11,40.372933333333336,-3.612116666666666
28079054_201709,28079054,2017-09,40.372933333333336,-3.612116666666666
28079054_201708,28079054,2017-08,40.372933333333336,-3.612116666666666
28079054_201704,28079054,2017-04,40.372933333333336,-3.612116666666666
28079054_201701,28079054,2017-01,40.372933333333336,-3.612116666666666
28079054_201710,28079054,2017-10,40.372933333333336,-3.612116666666666
28079054_201703,28079054,2017-03,40.372933333333336,-3.612116666666666
28079054_201702,28079054,2017-02,40.372933333333336,-3.612116666666666
28079056_201707,28079056,2017-07,40.38496388888889,-3.7187277777777785
28079056_201706,28079056,2017-06,40.38496388888889,-3.7187277777777785
28079056_201705,28079056,2017-05,40.38496388888889,-3.7187277777777785
28079056_201712,28079056,2017-12,40.38496388888889,-3.7187277777777785
28079056_201711,28079056,2017-11,40.38496388888889,-3.7187277777777785
28079056_201709,28079056,2017-09,40.38496388888889,-3.7187277777777785
28079056_201708,28079056,2017-08,40.38496388888889,-3.7187277777777785
28079056_201704,28079056,2017-04,40.38496388888889,-3.7187277777777785
28079056_201701,28079056,2017-01,40.38496388888889,-3.7187277777777785
28079056_201710,28079056,2017-10,40.38496388888889,-3.7187277777777785
28079056_201703,28079056,2017-03,40.38496388888889,-3.7187277777777785
28079056_201702,28079056,2017-02,40.38496388888889,-3.7187277777777785
28079027_201707,28079027,2017-07,40.47692777777778,-3.580030555555555
28079027_201706,28079027,2017-06,40.47692777777778,-3.580030555555555
28079027_201705,28079027,2017-05,40.47692777777778,-3.580030555555555
28079027_201712,28079027,2017-12,40.47692777777778,-3.580030555555555
28079027_201711,28079027,2017-11,40.47692777777778,-3.580030555555555
28079027_201709,28079027,2017-09,40.47692777777778,-3.580030555555555
28079027_201708,28079027,2017-08,40.47692777777778,-3.580030555555555
28079027_201704,28079027,2017-04,40.47692777777778,-3.580030555555555
28079027_201701,28079027,2017-01,40.47692777777778,-3.580030555555555
28079027_201710,28079027,2017-10,40.47692777777778,-3.580030555555555
28079027_201703,28079027,2017-03,40.47692777777778,-3.580030555555555
28079027_201702,28079027,2017-02,40.47692777777778,-3.580030555555555
28079011_201707,28079011,2017-07,40.451475,-3.6773555555555553
28079011_201706,28079011,2017-06,40.451475,-3.6773555555555553
28079011_201705,28079011,2017-05,40.451475,-3.6773555555555553
28079011_201712,28079011,2017-12,40.451475,-3.6773555555555553
28079011_201711,28079011,2017-11,40.451475,-3.6773555555555553
28079011_201709,28079011,2017-09,40.451475,-3.6773555555555553
28079011_201708,28079011,2017-08,40.451475,-3.6773555555555553
28079011_201704,28079011,2017-04,40.451475,-3.6773555555555553
28079011_201701,28079011,2017-01,40.451475,-3.6773555555555553
28079011_201710,28079011,2017-10,40.451475,-3.6773555555555553
28079011_201703,28079011,2017-03,40.451475,-3.6773555555555553
28079011_201702,28079011,2017-02,40.451475,-3.6773555555555553
28079004_201707,28079004,2017-07,40.423852777777775,-3.712247222222224
28079004_201706,28079004,2017-06,40.423852777777775,-3.712247222222224
28079004_201705,28079004,2017-05,40.423852777777775,-3.712247222222224
28079004_201712,28079004,2017-12,40.423852777777775,-3.712247222222224
28079004_201711,28079004,2017-11,40.423852777777775,-3.712247222222224
28079004_201709,28079004,2017-09,40.423852777777775,-3.712247222222224
28079004_201708,28079004,2017-08,40.423852777777775,-3.712247222222224
28079004_201704,28079004,2017-04,40.423852777777775,-3.712247222222224
28079004_201701,28079004,2017-01,40.423852777777775,-3.712247222222224
28079004_201710,28079004,2017-10,40.423852777777775,-3.712247222222224
28079004_201703,28079004,2017-03,40.423852777777775,-3.712247222222224
28079004_201702,28079004,2017-02,40.423852777777775,-3.712247222222224
28079047_201707,28079047,2017-07,40.398113888888886,-3.686825
28079047_201706,28079047,2017-06,40.398113888888886,-3.686825
28079047_201705,28079047,2017-05,40.398113888888886,-3.686825
28079047_201712,28079047,2017-12,40.398113888888886,-3.686825
28079047_201711,28079047,2017-11,40.398113888888886,-3.686825
28079047_201709,28079047,2017-09,40.398113888888886,-3.686825
28079047_201708,28079047,2017-08,40.398113888888886,-3.686825
28079047_201704,28079047,2017-04,40.398113888888886,-3.686825
28079047_201701,28079047,2017-01,40.398113888888886,-3.686825
28079047_201710,28079047,2017-10,40.398113888888886,-3.686825
28079047_201703,28079047,2017-03,40.398113888888886,-3.686825
28079047_201702,28079047,2017-02,40.398113888888886,-3.686825
28079024_201707,28079024,2017-07,40.41935555555556,-3.7473472222222224
28079024_201706,28079024,2017-06,40.41935555555556,-3.7473472222222224
28079024_201705,28079024,2017-05,40.41935555555556,-3.7473472222222224
28079024_201712,28079024,2017-12,40.41935555555556,-3.7473472222222224
28079024_201711,28079024,2017-11,40.41935555555556,-3.7473472222222224
28079024_201709,28079024,2017-09,40.41935555555556,-3.7473472222222224
28079024_201708,28079024,2017-08,40.41935555555556,-3.7473472222222224
28079024_201704,28079024,2017-04,40.41935555555556,-3.7473472222222224
28079024_201701,28079024,2017-01,40.41935555555556,-3.7473472222222224
28079024_201710,28079024,2017-10,40.41935555555556,-3.7473472222222224
28079024_201703,28079024,2017-03,40.41935555555556,-3.7473472222222224
28079024_201702,28079024,2017-02,40.41935555555556,-3.7473472222222224
28079008_201707,28079008,2017-07,40.42156388888888,-3.682319444444445
28079008_201706,28079008,2017-06,40.42156388888888,-3.682319444444445
28079008_201705,28079008,2017-05,40.42156388888888,-3.682319444444445
28079008_201712,28079008,2017-12,40.42156388888888,-3.682319444444445
28079008_201711,28079008,2017-11,40.42156388888888,-3.682319444444445
28079008_201709,28079008,2017-09,40.42156388888888,-3.682319444444445
28079008_201708,28079008,2017-08,40.42156388888888,-3.682319444444445
28079008_201704,28079008,2017-04,40.42156388888888,-3.682319444444445
28079008_201701,28079008,2017-01,40.42156388888888,-3.682319444444445
28079008_201710,28079008,2017-10,40.42156388888888,-3.682319444444445
28079008_201703,28079008,2017-03,40.42156388888888,-3.682319444444445
28079008_201702,28079008,2017-02,40.42156388888888,-3.682319444444445
28079050_201707,28079050,2017-07,40.46557222222223,-3.688769444444445
28079050_201706,28079050,2017-06,40.46557222222223,-3.688769444444445
28079050_201705,28079050,2017-05,40.46557222222223,-3.688769444444445
28079050_201712,28079050,2017-12,40.46557222222223,-3.688769444444445
28079050_201711,28079050,2017-11,40.46557222222223,-3.688769444444445
28079050_201709,28079050,2017-09,40.46557222222223,-3.688769444444445
28079050_201708,28079050,2017-08,40.46557222222223,-3.688769444444445
28079050_201704,28079050,2017-04,40.46557222222223,-3.688769444444445
28079050_201701,28079050,2017-01,40.46557222222223,-3.688769444444445
28079050_201710,28079050,2017-10,40.46557222222223,-3.688769444444445
28079050_201703,28079050,2017-03,40.46557222222223,-3.688769444444445
28079050_201702,28079050,2017-02,40.46557222222223,-3.688769444444445
28079018_201707,28079018,2017-07,40.39478055555556,-3.7318527777777777
28079018_201706,28079018,2017-06,40.39478055555556,-3.7318527777777777
28079018_201705,28079018,2017-05,40.39478055555556,-3.7318527777777777
28079018_201712,28079018,2017-12,40.39478055555556,-3.7318527777777777
28079018_201711,28079018,2017-11,40.39478055555556,-3.7318527777777777
28079018_201709,28079018,2017-09,40.39478055555556,-3.7318527777777777
28079018_201708,28079018,2017-08,40.39478055555556,-3.7318527777777777
28079018_201704,28079018,2017-04,40.39478055555556,-3.7318527777777777
28079018_201701,28079018,2017-01,40.39478055555556,-3.7318527777777777
28079018_201710,28079018,2017-10,40.39478055555556,-3.7318527777777777
28079018_201703,28079018,2017-03,40.39478055555556,-3.7318527777777777
28079018_201702,28079018,2017-02,40.39478055555556,-3.7318527777777777
28079059_201707,28079059,2017-07,40.46525000000001,-3.6090722222222222
28079059_201706,28079059,2017-06,40.46525000000001,-3.6090722222222222
28079059_201705,28079059,2017-05,40.46525000000001,-3.6090722222222222
28079059_201712,28079059,2017-12,40.46525000000001,-3.6090722222222222
28079059_201711,28079059,2017-11,40.46525000000001,-3.6090722222222222
28079059_201709,28079059,2017-09,40.46525000000001,-3.6090722222222222
28079059_201708,28079059,2017-08,40.46525000000001,-3.6090722222222222
28079059_201704,28079059,2017-04,40.46525000000001,-3.6090722222222222
28079059_201701,28079059,2017-01,40.46525000000001,-3.6090722222222222
28079059_201710,28079059,2017-10,40.46525000000001,-3.6090722222222222
28079059_201703,28079059,2017-03,40.46525000000001,-3.6090722222222222
28079059_201702,28079059,2017-02,40.46525000000001,-3.6090722222222222
28079058_201707,28079058,2017-07,40.51805833333333,-3.774611111111111
28079058_201706,28079058,2017-06,40.51805833333333,-3.774611111111111
28079058_201705,28079058,2017-05,40.51805833333333,-3.774611111111111
28079058_201712,28079058,2017-12,40.51805833333333,-3.774611111111111
28079058_201711,28079058,2017-11,40.51805833333333,-3.774611111111111
28079058_201709,28079058,2017-09,40.51805833333333,-3.774611111111111
28079058_201708,28079058,2017-08,40.51805833333333,-3.774611111111111
28079058_201704,28079058,2017-04,40.51805833333333,-3.774611111111111
28079058_201701,28079058,2017-01,40.51805833333333,-3.774611111111111
28079058_201710,28079058,2017-10,40.51805833333333,-3.774611111111111
28079058_201703,28079058,2017-03,40.51805833333333,-3.774611111111111
28079058_201702,28079058,2017-02,40.51805833333333,-3.774611111111111
28079036_201707,28079036,2017-07,40.40794722222222,-3.6453055555555554
28079036_201706,28079036,2017-06,40.40794722222222,-3.6453055555555554
28079036_201705,28079036,2017-05,40.40794722222222,-3.6453055555555554
28079036_201712,28079036,2017-12,40.40794722222222,-3.6453055555555554
28079036_201711,28079036,2017-11,40.40794722222222,-3.6453055555555554
28079036_201709,28079036,2017-09,40.40794722222222,-3.6453055555555554
28079036_201708,28079036,2017-08,40.40794722222222,-3.6453055555555554
28079036_201704,28079036,2017-04,40.40794722222222,-3.6453055555555554
28079036_201701,28079036,2017-01,40.40794722222222,-3.6453055555555554
28079036_201710,28079036,2017-10,40.40794722222222,-3.6453055555555554
28079036_201703,28079036,2017-03,40.40794722222222,-3.6453055555555554
28079036_201702,28079036,2017-02,40.40794722222222,-3.6453055555555554
28079035_201707,28079035,2017-07,40.41920833333333,-3.7031722222222223
28079035_201706,28079035,2017-06,40.41920833333333,-3.7031722222222223
28079035_201705,28079035,2017-05,40.41920833333333,-3.7031722222222223
28079035_201712,28079035,2017-12,40.41920833333333,-3.7031722222222223
28079035_201711,28079035,2017-11,40.41920833333333,-3.7031722222222223
28079035_201709,28079035,2017-09,40.41920833333333,-3.7031722222222223
28079035_201708,28079035,2017-08,40.41920833333333,-3.7031722222222223
28079035_201704,28079035,2017-04,40.41920833333333,-3.7031722222222223
28079035_201701,28079035,2017-01,40.41920833333333,-3.7031722222222223
28079035_201710,28079035,2017-10,40.41920833333333,-3.7031722222222223
28079035_201703,28079035,2017-03,40.41920833333333,-3.7031722222222223
